,year,divorce,happy,female,unem10
313,1994,0,2,1,1.0
315,1994,0,3,1,0.0
316,1994,0,2,0,0.0
318,1994,1,2,1,0.0
321,1994,0,2,0,0.0
322,1994,0,2,1,0.0
323,1994,0,3,1,0.0
325,1994,1,2,0,0.0
327,1994,1,2,1,0.0
328,1994,0,2,1,0.0
329,1994,0,3,0,0.0
332,1994,1,2,0,1.0
336,1994,0,1,1,0.0
339,1994,0,2,0,0.0
352,1994,1,2,0,1.0
355,1994,0,2,0,1.0
356,1994,0,2,1,0.0
357,1994,0,2,0,1.0
360,1994,0,1,0,0.0
363,1994,0,2,1,0.0
364,1994,0,2,1,0.0
368,1994,0,2,0,1.0
372,1994,0,2,0,1.0
373,1994,0,3,1,0.0
374,1994,0,3,0,0.0
376,1994,0,1,0,1.0
379,1994,0,3,0,0.0
382,1994,0,3,1,0.0
383,1994,0,2,0,1.0
384,1994,0,3,1,0.0
386,1994,0,3,1,0.0
388,1994,0,3,1,0.0
389,1994,0,1,0,0.0
392,1994,0,3,1,0.0
393,1994,0,3,1,0.0
395,1994,0,2,0,0.0
396,1994,0,1,1,1.0
398,1994,0,3,0,0.0
399,1994,0,2,1,0.0
404,1994,1,2,0,1.0
406,1994,0,2,0,0.0
409,1994,0,2,0,0.0
410,1994,0,3,0,1.0
413,1994,1,3,1,0.0
420,1994,0,2,1,0.0
427,1994,0,2,0,1.0
428,1994,1,3,1,0.0
430,1994,1,3,0,0.0
431,1994,0,2,1,0.0
438,1994,0,2,1,0.0
443,1994,1,2,0,1.0
444,1994,1,3,1,1.0
445,1994,1,3,1,0.0
452,1994,0,3,1,0.0
454,1994,1,2,1,1.0
462,1994,1,3,1,0.0
465,1994,0,2,1,0.0
468,1994,1,3,1,0.0
469,1994,0,3,0,0.0
471,1994,0,2,1,0.0
472,1994,0,2,1,0.0
473,1994,0,2,1,1.0
474,1994,0,2,0,0.0
479,1994,0,2,0,0.0
481,1994,0,2,0,1.0
482,1994,1,3,0,1.0
484,1994,0,3,0,1.0
489,1994,0,3,1,0.0
490,1994,0,2,0,0.0
494,1994,0,2,1,0.0
498,1994,0,2,1,0.0
505,1994,0,2,0,0.0
506,1994,0,2,1,1.0
507,1994,0,2,1,1.0
510,1994,0,3,1,1.0
515,1994,0,2,1,0.0
517,1994,0,2,1,0.0
519,1994,1,2,0,1.0
520,1994,0,2,1,0.0
521,1994,0,2,0,0.0
526,1994,0,3,0,0.0
529,1994,0,3,1,0.0
530,1994,0,3,1,1.0
531,1994,1,2,0,0.0
532,1994,0,3,0,0.0
533,1994,0,3,0,0.0
534,1994,0,3,1,0.0
536,1994,0,2,1,0.0
540,1994,0,2,0,0.0
541,1994,0,2,1,0.0
546,1994,0,1,0,0.0
547,1994,0,3,1,0.0
548,1994,0,1,0,0.0
549,1994,0,2,1,0.0
552,1994,0,1,0,1.0
558,1994,0,1,0,0.0
561,1994,0,2,0,1.0
562,1994,0,3,1,0.0
568,1994,1,2,0,0.0
571,1994,0,2,0,0.0
573,1994,1,2,1,0.0
574,1994,0,3,1,0.0
577,1994,1,2,1,0.0
578,1994,0,2,1,0.0
579,1994,1,3,0,0.0
580,1994,0,3,1,0.0
586,1994,1,1,1,0.0
592,1994,0,2,1,0.0
600,1994,1,2,1,0.0
604,1994,0,2,1,0.0
607,1994,0,2,1,1.0
609,1994,0,2,1,0.0
610,1994,0,2,1,0.0
612,1994,0,3,0,0.0
627,1994,1,3,0,1.0
631,1994,0,2,0,0.0
632,1994,1,1,1,1.0
633,1994,1,2,0,1.0
634,1994,0,2,1,0.0
640,1994,0,3,1,0.0
642,1994,0,3,0,0.0
643,1994,0,2,0,1.0
654,1994,0,2,0,0.0
658,1994,0,1,0,1.0
659,1994,0,2,1,0.0
662,1994,0,3,0,0.0
670,1994,0,2,1,0.0
673,1994,0,2,0,0.0
677,1994,0,3,1,0.0
681,1994,0,3,0,0.0
687,1994,0,1,1,0.0
690,1994,1,3,0,0.0
691,1994,0,2,0,0.0
692,1994,1,2,1,1.0
693,1994,1,2,0,0.0
696,1994,0,1,1,0.0
698,1994,0,3,1,0.0
700,1994,0,3,1,0.0
701,1994,0,2,1,0.0
702,1994,0,2,0,1.0
705,1994,1,3,0,1.0
706,1994,1,2,0,1.0
707,1994,1,3,0,0.0
708,1994,0,2,1,0.0
714,1994,0,2,0,1.0
716,1994,0,3,0,0.0
717,1994,0,2,1,0.0
719,1994,0,3,0,0.0
723,1994,0,2,1,0.0
724,1994,0,1,1,0.0
729,1994,0,2,0,0.0
734,1994,0,2,1,1.0
735,1994,0,2,1,0.0
736,1994,0,3,1,0.0
738,1994,0,2,0,0.0
740,1994,0,2,1,0.0
742,1994,0,3,1,0.0
743,1994,0,2,1,0.0
744,1994,0,2,1,1.0
745,1994,1,2,1,1.0
746,1994,0,2,1,0.0
748,1994,0,3,1,0.0
755,1994,0,2,0,1.0
756,1994,0,3,0,0.0
761,1994,0,3,1,0.0
762,1994,0,2,1,0.0
763,1994,0,3,1,0.0
764,1994,0,2,1,1.0
767,1994,0,2,0,1.0
768,1994,0,2,1,0.0
772,1994,0,3,1,1.0
774,1994,0,2,0,1.0
776,1994,0,2,0,1.0
777,1994,0,2,0,0.0
778,1994,0,3,1,0.0
779,1994,1,1,1,0.0
780,1994,0,2,1,0.0
783,1994,0,2,0,0.0
786,1994,1,3,1,0.0
787,1994,0,3,0,0.0
788,1994,0,2,1,0.0
789,1994,0,3,0,0.0
791,1994,0,2,0,0.0
792,1994,0,3,1,0.0
795,1994,0,3,1,0.0
797,1994,0,2,1,0.0
798,1994,0,2,0,1.0
803,1994,1,2,1,1.0
805,1994,0,3,1,0.0
819,1994,1,3,0,0.0
821,1994,1,3,1,0.0
824,1994,0,2,0,0.0
826,1994,0,3,1,0.0
827,1994,0,2,0,0.0
831,1994,1,3,1,0.0
832,1994,1,2,1,1.0
834,1994,0,2,1,0.0
837,1994,0,3,1,0.0
838,1994,1,2,1,0.0
841,1994,0,3,1,0.0
842,1994,0,2,1,0.0
843,1994,0,2,0,0.0
847,1994,1,2,0,0.0
857,1994,0,2,1,1.0
861,1994,0,1,1,0.0
864,1994,0,2,1,0.0
865,1994,0,1,0,0.0
866,1994,0,2,1,0.0
871,1994,0,2,1,0.0
872,1994,1,2,0,0.0
873,1994,0,3,0,0.0
874,1994,0,2,1,1.0
881,1994,0,3,1,0.0
882,1994,0,2,0,0.0
883,1994,0,2,0,0.0
886,1994,0,2,0,0.0
891,1994,0,2,1,1.0
892,1994,0,2,0,1.0
893,1994,1,3,1,0.0
895,1994,1,2,1,1.0
897,1994,0,1,1,0.0
904,1994,0,1,1,0.0
912,1994,0,2,1,0.0
919,1994,1,2,0,1.0
920,1994,0,2,0,0.0
921,1994,0,2,0,0.0
923,1994,0,2,1,0.0
924,1994,1,2,1,1.0
929,1994,0,1,1,0.0
930,1994,0,3,1,1.0
931,1994,0,3,0,0.0
932,1994,0,2,0,0.0
936,1994,0,2,1,0.0
938,1994,0,3,1,0.0
940,1994,0,2,0,0.0
941,1994,0,2,0,0.0
942,1994,0,1,0,1.0
954,1994,0,2,1,0.0
960,1994,0,2,0,0.0
966,1994,0,2,1,1.0
967,1994,0,2,1,1.0
971,1994,1,2,1,0.0
976,1994,1,2,1,0.0
977,1994,0,2,0,0.0
983,1994,1,3,0,0.0
985,1994,0,3,1,0.0
992,1994,0,3,0,0.0
994,1994,0,2,0,0.0
995,1994,0,2,0,1.0
996,1994,0,2,1,0.0
997,1994,0,2,1,0.0
999,1994,0,2,1,0.0
1001,1994,0,3,0,0.0
1002,1994,0,3,0,0.0
1003,1994,0,3,1,1.0
1005,1994,0,2,1,0.0
1006,1994,0,2,0,0.0
1007,1994,1,2,1,0.0
1008,1994,0,2,0,0.0
1015,1994,0,2,0,0.0
1017,1994,1,2,1,0.0
1022,1994,0,2,0,0.0
1023,1994,0,3,1,0.0
1024,1994,0,2,0,0.0
1026,1994,0,1,1,0.0
1027,1994,0,2,1,1.0
1028,1994,0,2,1,0.0
1029,1994,0,3,0,0.0
1030,1994,0,1,0,0.0
1031,1994,0,2,0,0.0
1033,1994,0,2,1,0.0
1034,1994,0,2,1,0.0
1035,1994,0,2,0,1.0
1037,1994,0,3,1,0.0
1039,1994,0,3,1,0.0
1040,1994,0,2,0,0.0
1041,1994,0,3,0,1.0
1042,1994,0,3,0,0.0
1043,1994,1,3,0,0.0
1048,1994,0,3,0,0.0
1049,1994,0,3,0,0.0
1050,1994,0,3,0,0.0
1061,1994,0,3,0,0.0
1063,1994,0,2,0,1.0
1065,1994,0,3,0,0.0
1069,1994,0,2,1,0.0
1071,1994,0,2,0,1.0
1073,1994,0,3,0,0.0
1074,1994,0,3,0,1.0
1076,1994,1,3,1,0.0
1080,1994,0,1,1,0.0
1081,1994,0,2,1,0.0
1083,1994,0,3,0,0.0
1084,1994,0,2,1,1.0
1087,1994,0,3,1,0.0
1088,1994,0,3,0,1.0
1092,1994,0,2,1,0.0
1093,1994,1,2,1,0.0
1100,1994,0,2,1,0.0
1105,1994,0,3,0,0.0
1106,1994,0,2,0,1.0
1111,1994,0,3,1,0.0
1113,1994,1,2,0,1.0
1115,1994,0,2,1,1.0
1118,1994,0,3,1,0.0
1121,1994,1,1,0,1.0
1122,1994,0,2,1,0.0
1128,1994,0,2,1,0.0
1129,1994,0,1,0,0.0
1132,1994,0,3,0,0.0
1140,1994,0,1,0,0.0
1141,1994,0,2,1,1.0
1144,1994,0,2,0,1.0
1147,1994,0,3,0,0.0
1153,1994,0,2,0,1.0
1157,1994,0,2,0,0.0
1159,1994,0,2,0,0.0
1160,1994,0,3,0,0.0
1161,1994,0,2,0,0.0
1162,1994,0,3,1,0.0
1163,1994,0,3,1,0.0
1164,1994,0,3,1,0.0
1171,1994,0,2,1,0.0
1173,1994,0,3,1,0.0
1174,1994,0,3,1,0.0
1178,1994,0,2,1,0.0
1181,1994,0,2,1,0.0
1187,1994,0,2,0,1.0
1188,1994,0,1,1,0.0
1190,1994,0,2,1,0.0
1194,1994,0,2,0,0.0
1196,1994,0,2,1,1.0
1198,1994,0,3,1,0.0
1202,1994,0,3,0,1.0
1204,1994,0,2,1,0.0
1207,1994,0,2,0,0.0
1208,1994,0,2,1,0.0
1210,1994,0,3,1,0.0
1212,1994,0,3,0,0.0
1213,1994,0,2,0,1.0
1215,1994,0,2,0,0.0
1216,1994,0,3,1,1.0
1219,1994,0,3,0,0.0
1220,1994,0,3,0,0.0
1223,1994,0,2,0,0.0
1225,1994,0,3,1,0.0
1227,1994,0,2,0,0.0
1228,1994,1,1,1,0.0
1229,1994,0,1,0,1.0
1230,1994,0,2,1,1.0
1232,1994,0,2,0,1.0
1233,1994,0,3,1,1.0
1235,1994,1,2,0,0.0
1240,1994,0,2,1,0.0
1245,1994,0,2,0,0.0
1246,1994,0,3,0,0.0
1248,1994,1,2,1,0.0
1249,1994,0,2,0,1.0
1251,1994,0,1,1,0.0
1252,1994,0,2,0,0.0
1254,1994,0,2,0,0.0
1257,1994,0,1,1,0.0
1258,1994,0,1,0,1.0
1261,1994,0,2,0,0.0
1264,1994,0,2,0,0.0
1265,1994,0,2,1,0.0
1267,1994,0,3,0,0.0
1269,1994,0,2,1,0.0
1270,1994,1,3,0,0.0
1271,1994,0,2,0,0.0
1273,1994,1,2,0,0.0
1274,1994,1,2,0,1.0
1280,1994,0,2,1,1.0
1281,1994,0,2,1,0.0
1284,1994,1,2,0,0.0
1285,1994,0,1,1,1.0
1287,1994,1,2,1,0.0
1292,1994,0,2,1,1.0
1293,1994,0,3,0,1.0
1294,1994,0,2,1,0.0
1299,1994,0,3,1,0.0
1300,1994,1,3,0,1.0
1302,1994,1,2,1,1.0
1304,1994,0,2,0,1.0
1309,1994,0,2,0,0.0
1312,1994,0,2,1,0.0
1313,1994,0,3,1,1.0
1317,1994,1,2,1,1.0
1319,1994,1,2,1,0.0
1321,1994,0,2,0,0.0
1322,1994,0,2,1,0.0
1323,1994,0,1,1,1.0
1324,1994,1,2,1,0.0
1326,1994,0,2,1,0.0
1334,1994,0,3,0,0.0
1338,1994,0,2,0,0.0
1341,1994,0,3,1,0.0
1343,1994,0,2,1,0.0
1345,1994,0,2,1,0.0
1346,1994,0,3,1,0.0
1349,1994,0,2,1,0.0
1353,1994,1,3,1,0.0
1354,1994,1,2,0,0.0
1360,1994,0,2,0,1.0
1365,1994,0,2,1,0.0
1369,1994,0,3,1,0.0
1370,1994,0,3,1,0.0
1381,1994,0,3,1,0.0
1382,1994,0,2,1,1.0
1383,1994,0,1,1,0.0
1385,1994,0,2,1,0.0
1386,1994,1,2,1,0.0
1387,1994,0,3,1,0.0
1388,1994,1,3,0,0.0
1390,1994,0,2,1,0.0
1396,1994,0,3,1,1.0
1406,1994,0,3,0,0.0
1407,1994,1,3,1,1.0
1409,1994,0,3,0,0.0
1413,1994,1,2,0,1.0
1414,1994,1,3,1,1.0
1415,1994,1,3,0,0.0
1416,1994,0,2,0,0.0
1417,1994,0,3,1,1.0
1418,1994,0,3,1,0.0
1422,1994,0,2,1,0.0
1423,1994,0,2,1,1.0
1426,1994,0,3,1,0.0
1427,1994,0,2,0,0.0
1430,1994,1,3,1,1.0
1435,1994,1,2,1,0.0
1436,1994,0,2,1,0.0
1437,1994,0,2,1,0.0
1442,1994,0,3,1,0.0
1443,1994,0,1,1,0.0
1445,1994,1,3,0,1.0
1446,1994,0,2,1,1.0
1447,1994,0,1,1,0.0
1448,1994,1,3,1,1.0
1450,1994,0,1,0,1.0
1452,1994,0,2,1,0.0
1454,1994,0,2,1,0.0
1455,1994,0,2,1,1.0
1457,1994,0,3,1,0.0
1460,1994,1,3,0,0.0
1463,1994,0,3,0,0.0
1467,1994,0,2,0,0.0
1469,1994,0,2,0,0.0
1472,1994,0,2,1,0.0
1477,1994,0,3,1,0.0
1478,1994,0,2,0,0.0
1480,1994,0,2,0,0.0
1482,1994,0,2,1,0.0
1487,1994,0,3,0,1.0
1488,1994,0,3,1,0.0
1491,1994,0,3,1,0.0
1494,1994,1,2,0,0.0
1495,1994,0,3,1,0.0
1496,1994,0,3,0,0.0
1500,1994,0,2,1,0.0
1504,1994,0,2,0,0.0
1506,1994,0,3,0,0.0
1507,1994,0,3,1,0.0
1508,1994,0,2,1,0.0
1511,1994,0,3,1,0.0
1512,1994,0,2,1,0.0
1514,1994,0,3,1,0.0
1516,1994,0,3,1,0.0
1517,1994,0,2,1,0.0
1519,1994,1,2,1,0.0
1521,1994,1,1,1,1.0
1522,1994,1,2,0,0.0
1523,1994,0,2,1,0.0
1525,1994,0,2,0,0.0
1527,1994,0,3,1,0.0
1531,1994,1,2,1,1.0
1536,1994,1,3,0,1.0
1537,1994,1,2,0,0.0
1539,1994,1,3,1,0.0
1540,1994,0,1,0,0.0
1542,1994,1,3,0,0.0
1543,1994,1,3,1,1.0
1548,1994,0,2,1,0.0
1549,1994,0,2,0,0.0
1553,1994,0,2,1,0.0
1555,1994,0,2,0,0.0
1556,1994,0,3,1,0.0
1557,1994,0,3,0,0.0
1560,1994,0,3,0,0.0
1562,1994,0,3,0,0.0
1563,1994,0,3,0,0.0
1564,1994,0,3,1,0.0
1565,1994,0,3,1,1.0
1573,1994,1,2,1,0.0
1576,1994,0,3,1,0.0
1577,1994,0,2,1,0.0
1580,1994,0,1,0,1.0
1585,1994,0,2,1,1.0
1588,1994,0,2,1,0.0
1589,1994,0,1,1,1.0
1594,1994,1,2,1,0.0
1597,1994,1,3,0,1.0
1598,1994,1,3,1,0.0
1600,1994,0,2,0,0.0
1602,1994,1,1,1,0.0
1603,1994,0,2,1,0.0
1604,1994,0,3,1,0.0
1607,1994,0,2,0,0.0
1608,1994,1,3,1,0.0
1610,1994,1,2,1,0.0
1616,1994,1,2,0,0.0
1617,1994,0,2,1,1.0
1618,1994,1,2,0,0.0
1619,1994,0,1,1,0.0
1624,1994,1,1,0,1.0
1628,1994,0,2,0,1.0
1629,1994,1,2,1,0.0
1630,1994,0,2,0,1.0
1632,1994,0,3,0,0.0
1633,1994,0,2,0,0.0
1634,1994,1,2,1,0.0
1637,1994,0,3,0,0.0
1640,1994,0,2,0,0.0
1641,1994,0,3,1,0.0
1642,1994,0,1,0,0.0
1643,1994,0,3,0,0.0
1644,1994,1,3,1,0.0
1645,1994,0,3,0,0.0
1648,1994,0,3,1,0.0
1650,1994,0,3,0,0.0
1654,1994,0,3,1,0.0
1656,1994,0,2,1,0.0
1657,1994,0,2,1,0.0
1658,1994,0,2,1,1.0
1660,1994,0,2,0,0.0
1661,1994,0,3,0,1.0
1662,1994,0,2,1,1.0
1664,1994,1,3,0,0.0
1668,1994,0,3,1,0.0
1670,1994,1,3,1,1.0
1671,1994,0,3,0,0.0
1674,1994,0,3,1,0.0
1675,1994,0,3,0,0.0
1676,1994,0,2,1,0.0
1677,1994,0,3,0,0.0
1678,1994,0,2,1,0.0
1680,1994,0,3,1,0.0
1681,1994,0,2,0,0.0
1682,1994,0,3,1,0.0
1684,1994,0,2,0,0.0
1685,1994,0,2,1,0.0
1687,1994,0,2,1,0.0
1689,1994,0,3,1,1.0
1690,1994,0,2,1,1.0
1691,1994,0,2,1,1.0
1693,1994,0,2,1,0.0
1694,1994,1,3,0,0.0
1695,1994,0,3,1,0.0
1696,1994,1,2,1,0.0
1698,1994,0,2,1,0.0
1699,1994,1,2,1,0.0
1701,1994,0,2,0,0.0
1703,1994,1,2,0,1.0
1704,1994,1,2,1,0.0
1707,1994,1,2,0,1.0
1711,1994,0,2,0,0.0
1712,1994,0,3,1,0.0
1715,1994,0,1,0,0.0
1717,1994,0,2,0,0.0
1719,1994,0,3,1,0.0
1720,1994,0,2,1,1.0
1724,1994,0,1,1,0.0
1725,1994,0,2,1,0.0
1727,1994,0,3,0,0.0
1730,1994,0,1,1,0.0
1732,1994,1,3,0,1.0
1733,1994,0,3,1,0.0
1735,1994,0,2,1,0.0
1736,1994,1,1,0,1.0
1737,1994,0,2,1,0.0
1739,1994,1,3,0,0.0
1740,1994,0,3,1,0.0
1741,1994,0,2,0,0.0
1742,1994,0,2,1,1.0
1746,1994,0,2,0,0.0
1748,1994,1,2,1,0.0
1750,1994,0,2,1,1.0
1752,1994,0,2,1,0.0
1759,1994,0,2,0,0.0
1772,1994,0,2,1,0.0
1774,1994,1,2,1,0.0
1775,1994,1,3,1,1.0
1776,1994,1,2,0,0.0
1777,1994,0,3,0,0.0
1780,1994,0,2,0,1.0
1781,1994,0,3,0,1.0
1782,1994,0,2,1,1.0
1785,1994,0,2,1,0.0
1787,1994,1,2,0,0.0
1790,1994,1,2,1,0.0
1792,1994,1,2,1,0.0
1796,1994,0,2,1,1.0
1799,1994,0,2,1,0.0
1803,1994,0,3,0,0.0
1812,1994,0,2,0,0.0
1817,1994,0,2,1,0.0
1819,1994,0,3,0,0.0
1820,1994,0,3,1,0.0
1822,1994,0,2,0,0.0
1825,1994,0,1,1,0.0
1832,1994,0,2,1,1.0
1837,1994,0,3,1,0.0
1838,1994,0,2,0,0.0
1840,1994,0,2,1,0.0
1841,1994,0,2,1,0.0
1843,1994,1,3,1,0.0
1844,1994,0,3,0,0.0
1845,1994,0,3,0,1.0
1846,1994,1,2,0,0.0
1850,1994,0,3,1,1.0
1851,1994,0,3,1,0.0
1853,1994,1,3,1,1.0
1859,1994,0,2,0,0.0
1862,1994,0,2,1,0.0
1865,1994,0,1,0,0.0
1871,1994,0,2,0,0.0
1872,1994,0,2,0,1.0
1875,1994,0,2,0,0.0
1880,1994,0,3,1,0.0
1881,1994,0,3,0,0.0
1884,1994,0,2,1,0.0
1885,1994,0,2,0,1.0
1887,1994,0,2,1,0.0
1892,1994,0,3,0,0.0
1893,1994,0,2,1,0.0
1894,1994,0,3,0,0.0
1897,1994,0,3,1,0.0
1898,1994,0,2,0,0.0
1901,1994,0,2,1,1.0
1904,1994,0,1,1,1.0
1905,1994,1,3,0,1.0
1906,1994,1,2,0,0.0
1908,1994,0,3,1,0.0
1910,1994,0,3,0,0.0
1913,1994,0,1,0,0.0
1917,1994,0,3,0,0.0
1918,1994,0,2,1,0.0
1920,1994,0,2,0,0.0
1921,1994,0,2,1,0.0
1922,1994,0,3,0,0.0
1925,1994,0,3,1,0.0
1926,1994,0,2,0,0.0
1927,1994,0,3,1,0.0
1932,1994,1,2,1,0.0
1938,1994,1,1,1,0.0
1942,1994,0,1,1,1.0
1944,1994,0,2,1,0.0
1947,1994,0,3,1,0.0
1949,1994,0,1,0,0.0
1950,1994,1,3,1,0.0
1952,1994,0,2,1,0.0
1955,1994,0,3,1,0.0
1956,1994,1,3,1,1.0
1957,1994,0,3,1,1.0
1961,1994,0,2,1,0.0
1969,1994,0,3,1,0.0
1975,1994,0,1,1,0.0
1977,1994,1,2,0,1.0
1983,1994,0,3,0,0.0
1985,1994,1,2,0,0.0
1989,1994,0,1,0,1.0
1991,1994,0,2,1,1.0
1993,1994,1,2,0,1.0
1996,1994,1,2,0,1.0
1999,1994,1,3,1,1.0
2007,1994,0,2,1,0.0
2008,1994,0,2,1,0.0
2009,1994,0,2,0,0.0
2010,1994,0,2,1,0.0
2012,1994,0,3,0,0.0
2014,1994,1,2,0,0.0
2022,1994,0,2,1,0.0
2036,1994,0,2,1,0.0
2037,1994,0,3,1,0.0
2038,1994,0,3,0,1.0
2039,1994,0,2,0,0.0
2040,1994,0,2,1,0.0
2042,1994,0,2,0,1.0
2048,1994,1,2,0,1.0
2050,1994,1,2,1,0.0
2054,1994,1,2,1,0.0
2057,1994,0,2,1,0.0
2060,1994,0,3,0,0.0
2064,1994,0,3,1,0.0
2065,1994,1,3,0,0.0
2067,1994,0,3,0,1.0
2069,1994,0,1,0,0.0
2070,1994,0,2,0,0.0
2071,1994,1,2,0,0.0
2077,1994,0,3,0,0.0
2080,1994,0,3,0,0.0
2081,1994,1,2,0,1.0
2083,1994,0,2,1,1.0
2084,1994,0,3,1,0.0
2085,1994,0,3,1,0.0
2087,1994,0,2,0,0.0
2093,1994,0,3,1,0.0
2097,1994,0,2,0,1.0
2098,1994,0,2,1,0.0
2099,1994,1,2,1,1.0
2100,1994,0,2,1,0.0
2105,1994,0,3,1,0.0
2107,1994,0,1,1,1.0
2108,1994,0,2,1,0.0
2116,1994,1,2,0,1.0
2118,1994,1,3,0,0.0
2121,1994,0,3,0,0.0
2124,1994,1,2,1,1.0
2127,1994,1,2,0,0.0
2130,1994,1,3,1,0.0
2131,1994,0,2,0,1.0
2135,1994,0,2,1,0.0
2136,1994,0,3,0,0.0
2138,1994,0,2,1,0.0
2142,1994,1,3,1,0.0
2145,1994,1,3,0,0.0
2146,1994,1,3,0,0.0
2150,1994,1,2,1,0.0
2155,1994,0,2,0,0.0
2158,1994,0,2,1,0.0
2159,1994,1,2,0,0.0
2160,1994,0,2,1,0.0
2163,1994,0,2,1,0.0
2164,1994,1,2,1,1.0
2165,1994,1,3,0,0.0
2171,1994,1,3,0,1.0
2172,1994,0,2,1,0.0
2173,1994,0,3,1,0.0
2174,1994,0,2,0,0.0
2188,1994,1,3,1,1.0
2190,1994,0,3,0,1.0
2191,1994,0,3,1,1.0
2193,1994,0,2,0,0.0
2194,1994,0,3,1,1.0
2195,1994,0,2,0,0.0
2197,1994,1,3,0,0.0
2201,1994,0,2,1,1.0
2204,1994,0,2,0,0.0
2206,1994,0,2,0,0.0
2207,1994,0,2,1,1.0
2210,1994,1,2,0,0.0
2215,1994,0,3,1,1.0
2216,1994,0,2,1,0.0
2219,1994,0,3,0,1.0
2220,1994,0,3,0,0.0
2222,1994,0,2,1,1.0
2229,1994,0,3,1,1.0
2235,1994,0,2,1,1.0
2237,1994,0,3,0,1.0
2240,1994,0,2,0,1.0
2241,1994,0,1,1,1.0
2243,1994,0,2,1,1.0
2244,1994,0,3,0,0.0
2247,1994,0,2,1,0.0
2251,1994,0,3,1,1.0
2252,1994,1,2,1,0.0
2253,1994,0,2,0,0.0
2259,1994,0,2,1,0.0
2260,1994,0,2,0,0.0
2267,1994,0,1,1,0.0
2268,1994,0,2,1,0.0
2272,1994,0,2,1,1.0
